match_idx	conversation_id	conversation_idx	input_tokens	output_tokens	cached_tokens	ttft_client_ms	itl_client_ms	elapsed_client_ms	ttft_server_ms	proxy_to_ctx_ms	ctx_preproc_ms	ctx_queue_ms	ctx_prefill_ms	ctx_postproc_ms	relay_hop_ms	gen_preproc_ms	gen_queue_ms	gen_first_decode_ms	gen_postproc_ms	proxy_to_client_ms	kv_transfer_ctx_ms	kv_transfer_gen_ms	ctx_gpu_forward_ms	ctx_gpu_sample_ms	ctx_prefill_host_ms	ctx_decode_ms	gen_decode_ms	end_to_end_ms	kv_cache_mb	kv_transfer_gen_GBps	ctx_first_iter	ctx_last_iter	gen_first_iter	gen_last_iter	ctx_kv_blocks_total	ctx_kv_blocks_new	ctx_kv_blocks_reused	ctx_kv_blocks_missed	ctx_kv_block_reuse_ratio	gen_kv_blocks_total	gen_kv_blocks_new	gen_kv_blocks_reused	gen_kv_blocks_missed	gen_kv_block_reuse_ratio
75	aa-rwlt-coding-agent-011	14	23493	1209	22910	181.995	1.768	2218.683	155.664	1.574	18.281	8.118	81.052	2.250	6.815	2.384	32.172	6.056	-3.417	0.379		22.785				0.000	1682.709	155.664	142.594	6.258	153.000	153.000	7822.000	8216.000	117.000	117.000	735.000	116.000	0.864	117.000	117.000	735.000	116.000	0.864
76	aa-rwlt-coding-agent-011	15	27223	936	23493	243.401	1.833	1851.301	110.216	1.540	19.028	8.340	31.344	2.680	6.919	2.533	34.468	5.997	-3.031	0.398		24.402				0.000	386.104	110.216	31.688	1.299	155.000	155.000	8219.000	8309.000	26.000	26.000	851.000	25.000	0.971	26.000	26.000	851.000	25.000	0.971
77	aa-rwlt-coding-agent-011	16	28019	211	27223	199.127	2.032	508.378	109.668	1.452	19.821	8.352	28.793	2.517	6.943	2.505	35.232	5.745	-2.172	0.480		25.685				0.000	743.595	109.668	20.719	0.807	157.000	157.000	8312.000	8485.000	17.000	17.000	876.000	16.000	0.982	17.000	17.000	876.000	16.000	0.982
78	aa-rwlt-coding-agent-011	17	28539	380	28019	197.537	2.021	864.822	128.612	1.358	20.303	8.508	44.829	2.488	7.259	2.474	37.982	6.059	-3.030	0.382		28.212				0.000	231.731	128.612	46.312	1.642	159.000	159.000	8488.000	8542.000	38.000	38.000	892.000	37.000	0.960	38.000	38.000	892.000	37.000	0.960
79	aa-rwlt-coding-agent-011	18	29708	137	28539	218.143	2.184	373.469	113.888	1.451	20.457	8.641	29.333	2.376	7.224	2.542	38.955	5.622	-3.095	0.382		28.957				0.000	60.851	113.888	20.719	0.716	161.000	161.000	8545.000	8559.000	17.000	17.000	929.000	16.000	0.983	17.000	17.000	929.000	16.000	0.983
80	aa-rwlt-coding-agent-011	19	30238	52	29708	188.133	0.004	188.507	112.820	1.505	21.097	8.656	26.376	2.463	7.339	2.701	39.587	5.611	-2.994	0.479		29.858				0.000	2012.545	112.820	19.500	0.653	163.000	163.000	8562.000	9030.000	17.000	17.000	945.000	16.000	0.983	16.000	16.000	946.000	15.000	0.984
81	aa-rwlt-coding-agent-011	20	30731	1175	30238	202.248	1.735	2138.585	131.990	1.925	22.222	9.357	39.237	2.551	7.605	2.764	43.141	6.457	-3.659	0.390		32.837				0.000	2027.759	131.990	36.562	1.113	165.000	165.000	9033.000	9505.000	30.000	30.000	961.000	29.000	0.971	30.000	30.000	961.000	29.000	0.971
82	aa-rwlt-coding-agent-011	21	31654	1140	30731	222.674	1.787	2174.087	129.100	1.836	22.926	9.685	31.584	2.499	7.747	2.843	46.009	5.680	-2.094	0.385		35.243				0.000	405.082	129.100	24.375	0.692	167.000	167.000	9508.000	9602.000	20.000	20.000	990.000	19.000	0.981	20.000	20.000	990.000	19.000	0.981
83	aa-rwlt-coding-agent-011	22	32273	215	31654	218.544	2.147	547.302	124.626	1.523	22.993	9.011	28.455	2.503	7.769	2.811	46.605	5.621	-3.042	0.377		35.921				0.000	104.029	124.626	14.625	0.407	169.000	169.000	9605.000	9629.000	12.000	12.000	1009.000	11.000	0.989	12.000	12.000	1009.000	11.000	0.989
84	aa-rwlt-coding-agent-011	23	32628	73	32273	216.302	0.715	242.324	133.970	1.579	23.375	9.158	34.643	2.336	7.694	2.857	48.213	6.049	-2.327	0.393		37.378				0.000	107.744	133.970	23.156	0.620	171.000	171.000	9632.000	9657.000	19.000	19.000	1020.000	18.000	0.983	19.000	19.000	1020.000	18.000	0.983
85	aa-rwlt-coding-agent-011	24	33194	74	32628	224.515	1.148	254.643	136.566	1.572	23.774	9.428	34.409	2.662	7.925	2.815	50.606	6.275	-3.262	0.362		39.539				0.000	1129.049	136.566	35.344	0.894	173.000	173.000	9660.000	9921.000	29.000	29.000	1038.000	28.000	0.974	29.000	29.000	1038.000	28.000	0.974
86	aa-rwlt-coding-agent-011	25	34097	858	33194	228.270	1.314	1279.685	174.078	1.906	25.176	10.043	62.428	2.479	8.371	3.000	57.818	5.717	-3.238	0.378		46.309				0.000	1337.720	174.078	80.438	1.737	175.000	175.000	9924.000	10234.000	66.000	66.000	1066.000	65.000	0.943	66.000	66.000	1066.000	65.000	0.943
87	aa-rwlt-coding-agent-011	26	36172	767	34097	266.183	1.775	1526.604	152.690	1.880	26.092	10.314	36.044	2.559	8.584	3.176	59.975	5.777	-2.217	0.506		48.211				0.000	195.212	152.690	36.562	0.758	177.000	177.000	10237.000	10282.000	30.000	30.000	1131.000	29.000	0.975	30.000	30.000	1131.000	29.000	0.975
88	aa-rwlt-coding-agent-011	27	37097	120	36172	244.010	2.130	361.444	150.053	1.759	26.589	10.385	32.667	2.880	8.562	3.134	61.242	5.814	-3.486	0.507		49.393				0.000	1196.240	150.053	20.719	0.419	179.000	179.000	10285.000	10560.000	17.000	17.000	1160.000	16.000	0.986	17.000	17.000	1160.000	16.000	0.986
89	aa-rwlt-coding-agent-011	28	37623	705	37097	243.468	1.717	1361.598	161.644	2.113	27.298	10.966	36.571	2.577	9.147	3.371	65.484	6.570	-2.938	0.485		52.933				0.000	130.716	161.644	35.344	0.668	181.000	181.000	10563.000	10593.000	29.000	29.000	1176.000	28.000	0.977	29.000	29.000	1176.000	28.000	0.977
90	aa-rwlt-coding-agent-011	29	38519	93	37623	255.328	1.295	307.441	149.582	1.788	27.373	10.514	24.802	2.510	8.795	3.214	65.871	5.745	-1.527	0.497		53.854				0.000	100.961	149.582	8.531	0.158	183.000	183.000	10596.000	10619.000	7.000	7.000	1204.000	6.000	0.995	7.000	7.000	1204.000	6.000	0.995
91	aa-rwlt-coding-agent-011	30	38714	65	38519	242.574	0.536	264.302	151.812	1.727	29.116	11.507	25.116	2.393	8.953	3.277	66.776	5.654	-3.083	0.376		54.714				0.000	406.483	151.812	14.625	0.267	185.000	185.000	10622.000	10715.000	12.000	12.000	1210.000	11.000	0.991	12.000	12.000	1210.000	11.000	0.991
92	aa-rwlt-coding-agent-011	31	39071	261	38714	245.695	1.609	574.200	167.580	1.846	28.721	10.806	37.357	2.501	8.904	3.324	70.720	6.117	-3.094	0.378		58.401				0.000	155.671	167.580	36.562	0.626	187.000	187.000	10718.000	10754.000	31.000	31.000	1221.000	30.000	0.976	30.000	30.000	1222.000	29.000	0.977
93	aa-rwlt-coding-agent-011	32	40021	87	39071	261.225	3.235	339.117	173.668	1.815	29.805	10.806	41.416	2.357	9.132	3.233	72.284	5.725	-3.275	0.370		60.087				0.000	993.372	173.668	26.812	0.446	189.000	189.000	10757.000	10986.000	22.000	22.000	1251.000	21.000	0.983	22.000	22.000	1251.000	21.000	0.983
94	aa-rwlt-coding-agent-011	33	40689	608	40021	268.450	1.676	1183.850	174.081	2.243	29.632	11.324	35.644	2.525	9.350	3.360	75.903	5.745	-2.136	0.491		63.059				0.000	448.521	174.081	26.812	0.425	191.000	191.000	10989.000	11092.000	22.000	22.000	1272.000	21.000	0.984	22.000	22.000	1272.000	21.000	0.984
95	aa-rwlt-coding-agent-011	34	41362	280	40689	267.332	1.714	637.860	189.530	1.960	30.472	11.675	47.686	2.447	9.393	3.497	78.768	6.116	-2.969	0.485		66.101				0.000	113.408	189.530	42.656	0.645	193.000	193.000	11095.000	11121.000	35.000	35.000	1293.000	34.000	0.974	35.000	35.000	1293.000	34.000	0.974
96	aa-rwlt-coding-agent-011	35	42436	75	41362	285.321	0.847	320.324	170.718	2.038	30.819	11.420	26.535	2.039	9.385	3.459	81.582	6.789	-3.729	0.381		68.612				0.000	210.148	170.718	15.844	0.231	195.000	195.000	11124.000	11172.000	13.000	13.000	1327.000	12.000	0.991	13.000	13.000	1327.000	12.000	0.991
97	aa-rwlt-coding-agent-011	36	42832	134	42436	266.702	1.824	398.352	173.528	2.077	30.853	11.746	26.828	2.795	9.597	3.542	82.115	5.698	-2.273	0.550		69.350				0.000	158.740	173.528	9.750	0.141	197.000	197.000	11175.000	11211.000	8.000	8.000	1339.000	7.000	0.995	8.000	8.000	1339.000	7.000	0.995
98	aa-rwlt-coding-agent-011	37	43072	108	42832	267.607	1.296	348.216	173.485	2.025	31.404	12.437	25.678	2.454	9.699	3.556	82.529	5.740	-2.520	0.483		69.525				0.000	149.240	173.485	8.531	0.123	199.000	199.000	11214.000	11248.000	7.000	7.000	1346.000	7.000	0.995	7.000	7.000	1347.000	6.000	0.996
99	aa-rwlt-coding-agent-011	38	43277	95	43072	269.392	1.714	339.964	176.253	2.085	32.072	11.427	27.265	2.443	9.687	3.518	84.541	6.229	-3.509	0.495		71.008				0.000	705.478	176.253	18.281	0.257	201.000	201.000	11251.000	11412.000	15.000	15.000	1353.000	14.000	0.990	15.000	15.000	1353.000	14.000	0.990
100	aa-rwlt-coding-agent-011	39	43741	532	43277	272.806	1.308	899.678	191.896	2.256	33.137	12.270	35.747	2.646	10.029	3.856	88.805	5.784	-3.127	0.493		75.230				0.000	169.613	191.896	21.938	0.292	203.000	203.000	11415.000	11454.000	19.000	19.000	1367.000	18.000	0.987	18.000	18.000	1367.000	18.000	0.987
101	aa-rwlt-coding-agent-011	40	44293	110	43741	288.027	2.380	378.761	182.153	2.116	33.045	11.974	26.091	3.038	9.737	3.587	88.536	5.738	-2.193	0.484		75.315				0.000	492.799	182.153	13.406	0.178	205.000	205.000	11457.000	11570.000	11.000	11.000	1385.000	10.000	0.993	11.000	11.000	1385.000	10.000	0.993
102	aa-rwlt-coding-agent-011	41	44624	370	44293	277.872	1.367	692.479	193.277	2.194	33.505	12.035	34.019	2.537	9.938	3.718	91.537	5.744	-2.433	0.483		78.231				0.000	147.090	193.277	18.281	0.234	207.000	207.000	11573.000	11607.000	15.000	15.000	1395.000	14.000	0.990	15.000	15.000	1395.000	14.000	0.990
103	aa-rwlt-coding-agent-011	42	45065	77	44624	288.170	3.474	357.899	198.732	2.121	33.817	11.996	37.427	2.493	10.132	3.707	93.655	5.731	-2.853	0.506		80.138				0.000	124.619	198.732	26.812	0.335	209.000	209.000	11610.000	11639.000	22.000	22.000	1409.000	21.000	0.985	22.000	22.000	1409.000	21.000	0.985
104	aa-rwlt-coding-agent-011	43	45731	66	45065	294.138	1.117	341.349	189.072	2.216	34.387	12.089	25.413	2.484	10.028	3.834	93.992	5.717	-1.636	0.548		80.344				0.000	1423.160	189.072	7.312	0.091	211.000	211.000	11642.000	11967.000	6.000	6.000	1430.000	5.000	0.997	6.000	6.000	1430.000	5.000	0.997
105	aa-rwlt-coding-agent-011	44	45904	864	45731	283.754	1.659	1629.214	211.238	2.338	35.196	12.507	43.002	2.630	10.409	3.842	97.687	5.821	-2.730	0.536		83.782				0.000	165.429	211.238	30.469	0.364	213.000	213.000	11970.000	12008.000	25.000	25.000	1435.000	24.000	0.984	25.000	25.000	1435.000	24.000	0.984
106	aa-rwlt-coding-agent-011	45	46666	88	45904	307.049	2.833	395.128	208.432	2.209	35.681	12.650	38.272	2.538	10.357	3.800	99.358	5.898	-2.815	0.484		85.615				0.000	279.723	208.432	26.812	0.313	215.000	215.000	12011.000	12075.000	22.000	22.000	1459.000	21.000	0.986	22.000	22.000	1459.000	21.000	0.986
107	aa-rwlt-coding-agent-011	46	47359	155	46666	305.703	1.988	506.738	198.235	2.257	35.984	12.517	25.750	2.428	10.603	3.882	101.340	5.787	-2.796	0.483		87.372				0.000	83.384	198.235	12.188	0.139	217.000	217.000	12078.000	12097.000	11.000	11.000	1480.000	10.000	0.993	10.000	10.000	1481.000	9.000	0.994
108	aa-rwlt-coding-agent-011	47	47653	63	47359	296.072	0.102	300.330	203.269	2.254	36.677	13.014	27.722	2.489	10.539	3.953	102.466	6.213	-2.542	0.484		88.381				0.000	331.566	203.269	9.750	0.110	219.000	219.000	12100.000	12175.000	8.000	8.000	1490.000	7.000	0.995	8.000	8.000	1490.000	7.000	0.995
109	aa-rwlt-coding-agent-011	48	47896	233	47653	300.704	1.477	553.508	203.700	2.337	36.938	13.140	26.066	2.525	10.504	4.073	104.246	6.090	-2.713	0.494		89.903				0.000	80.192	203.700	12.188	0.136	221.000	221.000	12178.000	12196.000	10.000	10.000	1497.000	9.000	0.994	10.000	10.000	1497.000	9.000	0.994
110	aa-rwlt-coding-agent-011	49	48170	57	47896	309.015	0.003	309.396	208.938	2.393	37.381	14.312	27.781	2.561	10.672	3.961	106.081	6.093	-2.783	0.486		91.764				0.000	317.681	208.938	15.844	0.173	223.000	223.000	12199.000	12270.000	13.000	13.000	1506.000	12.000	0.992	13.000	13.000	1506.000	12.000	0.992
111	aa-rwlt-coding-agent-011	50	48559	234	48170	307.338	1.538	546.041	209.371	2.461	37.992	14.149	26.307	2.582	10.869	4.046	106.994	6.130	-2.662	0.503		92.827				0.000	264.845	209.371	10.969	0.118	225.000	225.000	12273.000	12333.000	9.000	9.000	1518.000	8.000	0.995	9.000	9.000	1518.000	8.000	0.995
112	aa-rwlt-coding-agent-011	51	48827	219	48559	307.573	1.347	493.763	208.902	2.421	38.026	13.045	27.668	2.154	10.614	4.038	107.389	5.779	-2.609	0.377		93.364				0.000	195.996	208.902	8.531	0.091	227.000	227.000	12336.000	12381.000	8.000	8.000	1526.000	7.000	0.995	7.000	7.000	1527.000	6.000	0.996
113	aa-rwlt-coding-agent-011	52	49052	109	48827	307.302	2.251	424.636	208.175	2.397	38.657	13.029	24.331	2.950	10.778	4.114	108.625	5.989	-3.177	0.482		93.911				0.000	87.987	208.175	4.875	0.052	229.000	229.000	12384.000	12404.000	5.000	5.000	1533.000	4.000	0.997	4.000	4.000	1534.000	3.000	0.998
114	aa-rwlt-coding-agent-011	53	49180	60	49052	307.868	0.230	316.430	217.035	2.449	38.755	12.996	30.295	3.304	10.878	4.117	109.923	5.802	-2.046	0.562		95.166				0.000	237.056	217.035	9.750	0.102	231.000	231.000	12407.000	12461.000	9.000	9.000	1537.000	8.000	0.995	8.000	8.000	1537.000	8.000	0.995
115	aa-rwlt-coding-agent-011	54	49427	190	49180	315.850	1.384	473.876	212.609	2.394	40.895	13.137	25.130	2.487	10.829	4.092	109.336	6.388	-2.601	0.522		95.052				0.000	521.076	212.609	7.312	0.077	233.000	233.000	12464.000	12583.000	6.000	6.000	1545.000	5.000	0.997	6.000	6.000	1545.000	5.000	0.997
116	aa-rwlt-coding-agent-011	55	49586	293	49427	311.145	1.836	753.874	209.014	2.440	39.787	12.999	22.781	2.571	10.924	4.022	109.765	6.051	-2.807	0.481		95.314				0.000	521.212	209.014	1.219	0.013	235.000	235.000	12586.000	12705.000	1.000	1.000	1550.000	0.000	1.000	1.000	1.000	1550.000	0.000	1.000
117	aa-rwlt-coding-agent-011	56	49586	293	49585	307.639	1.836	750.488	246.602	2.477	40.267	13.370	53.360	2.578	11.155	4.139	115.157	5.795	-2.180	0.484		100.499				0.000	538.546	246.602	46.312	0.461	237.000	237.000	12708.000	12831.000	38.000	38.000	1550.000	37.000	0.977	38.000	38.000	1550.000	37.000	0.977
118	aa-rwlt-coding-agent-011	57	50758	323	49586	345.825	1.780	805.403	258.120	2.551	41.103	13.654	58.810	2.519	11.488	4.251	120.116	5.811	-2.677	0.494		105.254				0.000	668.626	258.120	41.438	0.394	239.000	239.000	12834.000	12985.000	34.000	34.000	1587.000	33.000	0.980	34.000	34.000	1587.000	33.000	0.980
119	aa-rwlt-coding-agent-011	58	51839	513	50758	358.655	1.328	947.390	231.298	2.552	41.857	14.119	27.776	2.692	11.569	4.475	122.917	6.208	-3.362	0.495		107.249				0.000	273.819	231.298	13.406	0.125	241.000	241.000	12988.000	13050.000	12.000	12.000	1620.000	11.000	0.993	11.000	11.000	1621.000	10.000	0.994
120	aa-rwlt-coding-agent-011	59	52168	166	51839	332.237	1.858	527.632	254.158	2.673	43.688	14.195	43.539	2.556	11.778	4.577	126.845	5.932	-2.104	0.479		111.391				0.000	963.123	254.158	36.562	0.328	243.000	243.000	13053.000	13270.000	30.000	30.000	1631.000	29.000	0.983	30.000	30.000	1631.000	29.000	0.983
121	aa-rwlt-coding-agent-011	60	53115	614	52168	353.900	1.559	1238.040	243.271	2.953	42.196	14.240	32.512	2.631	12.232	4.494	128.290	6.311	-2.962	0.374		112.829				0.000	1786.367	243.271	13.406	0.119	245.000	245.000	13273.000	13679.000	12.000	12.000	1660.000	11.000	0.993	11.000	11.000	1661.000	10.000	0.994
122	aa-rwlt-coding-agent-011	61	53465	1084	53115	343.615	1.658	2052.042	257.350	2.760	43.268	14.637	42.199	2.696	12.009	4.472	131.736	5.879	-2.674	0.368		115.854				0.000	494.166	257.350	30.469	0.263	247.000	247.000	13682.000	13794.000	25.000	25.000	1671.000	24.000	0.986	25.000	25.000	1671.000	24.000	0.986
123	aa-rwlt-coding-agent-011	62	54232	294	53465	357.943	1.526	773.292	103.386	0.566	5.684	3.939	74.286	2.227	3.389	1.036	9.629	5.529	-3.264	0.365		4.579				0.000	225.446	103.386	285.188	62.282	249.000	249.000	13797.000	13851.000	234.000	234.000	66.000	233.000	0.221	234.000	234.000	66.000	233.000	0.221
124	aa-rwlt-coding-agent-051	0	9564	108	2110	185.424	2.522	337.043	155.207	0.796	9.441	5.438	110.086	2.095	4.794	1.498	18.212	5.508	-3.016	0.355		11.286				0.000	365.561	155.207	318.094	28.185	251.000	251.000	13854.000	13940.000	261.000	261.000	299.000	260.000	0.535	261.000	261.000	299.000	260.000	0.535
125	aa-rwlt-coding-agent-051	1	17875	191	9564	241.140	2.128	528.747	70.562	0.867	9.917	5.853	23.797	2.671	4.903	1.595	17.053	5.639	-2.238	0.505		10.045				0.000	347.423	70.562	15.844	1.577	253.000	253.000	13943.000	14023.000	13.000	13.000	559.000	12.000	0.979	13.000	13.000	559.000	12.000	0.979
126	aa-rwlt-coding-agent-051	2	18251	192	17875	168.973	1.883	425.503	78.338	0.892	10.492	6.120	32.681	2.178	4.996	1.676	16.748	5.982	-3.804	0.377		9.711				0.000	165.599	78.338	31.688	3.263	255.000	255.000	14026.000	14065.000	26.000	26.000	571.000	25.000	0.958	26.000	26.000	571.000	25.000	0.958
127	aa-rwlt-coding-agent-051	3	19061	86	18251	164.805	2.482	256.896	84.860	0.865	11.223	6.200	35.965	2.033	5.187	1.695	18.952	5.760	-3.411	0.391		11.490				0.000	105.968	84.860	51.188	4.455	257.000	257.000	14068.000	14093.000	42.000	42.000	596.000	41.000	0.936	42.000	42.000	596.000	41.000	0.936
128	aa-rwlt-coding-agent-051	4	20375	51	19061	170.182	1.281	199.944	76.815	0.930	11.687	6.214	25.327	2.682	5.348	1.766	19.232	5.626	-2.615	0.618		11.709				0.000	105.775	76.815	21.938	1.874	259.000	259.000	14096.000	14121.000	18.000	18.000	637.000	17.000	0.974	18.000	18.000	637.000	17.000	0.974
129	aa-rwlt-coding-agent-051	5	20924	59	20375	162.126	1.424	190.901	77.536	0.927	12.313	6.661	25.627	2.109	5.444	1.775	19.919	5.598	-3.223	0.386		12.164				0.000	68.081	77.536	21.938	1.803	261.000	261.000	14124.000	14140.000	18.000	18.000	654.000	17.000	0.975	18.000	18.000	654.000	17.000	0.975
130	aa-rwlt-coding-agent-051	6	21457	48	20924	155.136	0.006	155.525	194.659	1.043	15.660	8.247	118.562	2.486	6.993	2.312	35.309	6.097	-2.557	0.507		25.353				0.000	613.098	194.659	265.688	10.480	263.000	263.000	14143.000	14285.000	218.000	218.000	671.000	217.000	0.756	218.000	218.000	671.000	217.000	0.756
131	aa-rwlt-coding-agent-051	7	28415	379	21457	281.747	1.710	817.184	121.359	1.179	16.652	8.719	42.182	2.201	7.160	2.386	37.865	5.728	-3.133	0.420		27.805				0.000	753.774	121.359	49.969	1.797	265.000	265.000	14288.000	14462.000	42.000	42.000	888.000	41.000	0.956	41.000	41.000	889.000	40.000	0.957
132	aa-rwlt-coding-agent-051	8	29705	486	28415	211.424	1.499	885.931	110.684	1.237	17.102	8.980	29.147	2.219	7.274	2.644	38.959	5.691	-3.077	0.508		28.810				0.000	356.678	110.684	20.719	0.719	267.000	267.000	14465.000	14548.000	17.000	17.000	929.000	16.000	0.983	17.000	17.000	929.000	16.000	0.983
133	aa-rwlt-coding-agent-051	9	30238	220	29705	198.701	1.765	477.833	106.277	1.081	17.235	8.574	24.047	2.935	7.263	2.461	38.968	5.627	-2.402	0.488		29.092				0.000	77.439	106.277	8.531	0.293	269.000	269.000	14551.000	14569.000	8.000	8.000	945.000	7.000	0.993	7.000	7.000	946.000	6.000	0.994
134	aa-rwlt-coding-agent-051	10	30445	44	30238	193.892	0.006	194.296	107.018	1.252	17.722	8.869	23.749	2.050	7.379	2.555	39.976	6.032	-3.052	0.486		29.914				0.000	59.797	107.018	15.844	0.530	271.000	271.000	14572.000	14586.000	13.000	13.000	952.000	12.000	0.988	13.000	13.000	952.000	12.000	0.988
135	aa-rwlt-coding-agent-051	11	30826	38	30445	177.507	0.005	177.876	109.210	1.319	18.191	8.783	24.055	2.558	7.350	2.552	40.646	5.686	-2.418	0.488		30.677				0.000	993.723	109.210	15.844	0.516	273.000	273.000	14589.000	14821.000	13.000	13.000	964.000	12.000	0.988	13.000	13.000	964.000	12.000	0.988
136	aa-rwlt-coding-agent-051	12	31227	587	30826	197.926	1.743	1113.319	132.357	1.599	19.264	9.472	41.757	2.185	7.603	2.676	44.582	5.712	-2.973	0.480		33.917				0.000	571.816	132.357	42.656	1.258	275.000	275.000	14824.000	14957.000	36.000	36.000	976.000	35.000	0.965	35.000	35.000	977.000	34.000	0.966
137	aa-rwlt-coding-agent-051	13	32329	307	31227	220.711	1.970	715.547	161.189	1.480	20.463	10.108	60.265	2.934	8.175	3.010	50.843	5.733	-2.195	0.373		39.506				0.000	812.636	161.189	63.375	1.604	277.000	277.000	14960.000	15148.000	52.000	52.000	1011.000	51.000	0.952	52.000	52.000	1011.000	51.000	0.952
138	aa-rwlt-coding-agent-051	14	33969	478	32329	250.038	1.813	984.680	203.485	1.512	21.983	10.690	89.865	2.231	8.727	2.948	62.580	5.743	-3.164	0.370		50.511				0.000	1593.783	203.485	137.719	2.727	279.000	279.000	15151.000	15518.000	113.000	113.000	1062.000	112.000	0.905	113.000	113.000	1062.000	112.000	0.905
139	aa-rwlt-coding-agent-051	15	37553	865	33969	292.508	1.870	1809.510	140.409	1.739	22.325	10.540	24.725	2.415	8.650	3.090	62.546	5.914	-2.139	0.604		50.276				0.000	1249.056	140.409	13.406	0.267	281.000	281.000	15521.000	15807.000	11.000	11.000	1174.000	10.000	0.992	11.000	11.000	1174.000	10.000	0.992
140	aa-rwlt-coding-agent-051	16	37868	706	37553	229.449	1.818	1400.530	212.024	1.697	23.851	11.278	82.946	2.607	9.217	3.254	74.357	5.800	-3.357	0.374		61.314				0.000	99.131	212.024	114.562	1.868	283.000	283.000	15810.000	15833.000	94.000	94.000	1184.000	93.000	0.927	94.000	94.000	1184.000	93.000	0.927
141	aa-rwlt-coding-agent-051	17	40850	60	37868	301.898	1.024	323.723	159.228	1.505	24.443	11.238	27.476	2.489	9.311	3.324	74.939	6.296	-2.270	0.477		62.232				0.000	1066.623	159.228	15.844	0.255	285.000	285.000	15836.000	16081.000	13.000	13.000	1277.000	12.000	0.991	13.000	13.000	1277.000	12.000	0.991
142	aa-rwlt-coding-agent-051	18	41234	617	40850	248.462	1.773	1238.106	217.985	1.836	25.750	12.323	73.605	2.467	9.855	3.556	85.493	5.839	-3.113	0.374		72.157				0.000	498.480	217.985	92.625	1.284	287.000	287.000	16084.000	16198.000	76.000	76.000	1289.000	75.000	0.945	76.000	76.000	1289.000	75.000	0.945
143	aa-rwlt-coding-agent-051	19	43647	327	41234	309.828	1.621	729.918	169.403	1.528	25.939	12.145	24.110	2.552	9.801	3.568	85.381	6.045	-2.149	0.483		71.632				0.000	61.210	169.403	4.875	0.068	289.000	289.000	16201.000	16215.000	5.000	5.000	1364.000	4.000	0.997	4.000	4.000	1365.000	3.000	0.998
144	aa-rwlt-coding-agent-051	20	43774	41	43647	243.121	0.005	243.484	173.905	1.642	26.232	12.203	28.478	2.013	9.696	3.443	86.972	6.124	-3.382	0.484		73.206				0.000	357.267	173.905	15.844	0.216	291.000	291.000	16218.000	16300.000	14.000	14.000	1368.000	13.000	0.991	13.000	13.000	1369.000	12.000	0.991
145	aa-rwlt-coding-agent-051	21	44174	219	43774	265.857	1.797	544.691	193.246	1.871	27.022	12.343	39.655	2.844	10.038	3.475	91.825	5.995	-2.299	0.477		78.256				0.000	84.656	193.246	37.781	0.483	293.000	293.000	16303.000	16322.000	31.000	31.000	1381.000	30.000	0.979	31.000	31.000	1381.000	30.000	0.979
146	aa-rwlt-coding-agent-051	22	45142	53	44174	286.294	0.187	290.338	173.860	1.706	27.228	12.035	22.946	2.604	10.039	3.464	90.601	5.810	-3.076	0.503		77.040				0.000	847.864	173.860	4.875	0.063	295.000	295.000	16325.000	16520.000	4.000	4.000	1411.000	3.000	0.998	4.000	4.000	1411.000	3.000	0.998
147	aa-rwlt-coding-agent-051	23	45231	470	45142	265.446	1.902	1035.887	179.545	1.734	27.381	12.300	26.747	2.490	10.046	3.505	92.313	6.405	-3.754	0.378		78.949				0.000	469.303	179.545	7.312	0.093	297.000	297.000	16523.000	16631.000	6.000	6.000	1414.000	5.000	0.996	6.000	6.000	1414.000	5.000	0.996
148	aa-rwlt-coding-agent-051	24	45383	235	45231	271.351	2.141	663.385	178.849	1.734	27.783	12.174	24.170	2.418	10.075	3.628	92.863	6.453	-2.943	0.494		78.824				0.000	398.321	178.849	2.438	0.031	299.000	299.000	16634.000	16726.000	2.000	2.000	1419.000	1.000	0.999	2.000	2.000	1419.000	1.000	0.999
149	aa-rwlt-coding-agent-051	25	45439	201	45383	270.135	2.197	591.263	181.897	1.801	28.161	12.392	26.666	2.917	10.100	3.522	93.041	6.236	-3.420	0.481		79.456				0.000	173.593	181.897	8.531	0.107	301.000	301.000	16729.000	16769.000	8.000	8.000	1420.000	7.000	0.995	7.000	7.000	1421.000	6.000	0.996
150	aa-rwlt-coding-agent-051	26	45656	99	45439	274.198	2.386	370.008	180.600	1.700	28.328	12.296	24.406	1.849	10.072	3.627	93.514	6.507	-2.189	0.490		80.030				0.000	1117.395	180.600	4.875	0.061	303.000	303.000	16772.000	17028.000	4.000	4.000	1427.000	3.000	0.998	4.000	4.000	1427.000	3.000	0.998
151	aa-rwlt-coding-agent-051	27	45747	590	45656	271.957	1.955	1312.212	266.691	2.074	30.799	13.529	90.988	2.713	11.083	4.097	108.048	5.817	-2.988	0.531		93.119				0.000	248.670	266.691	115.781	1.243	305.000	305.000	17031.000	17088.000	95.000	95.000	1430.000	94.000	0.938	95.000	95.000	1430.000	94.000	0.938
152	aa-rwlt-coding-agent-051	28	48749	120	45747	360.544	2.395	530.838	198.856	1.752	30.631	13.065	24.469	2.575	10.799	3.983	107.420	6.357	-2.738	0.543		92.622				0.000	95.864	198.856	3.656	0.039	307.000	307.000	17091.000	17113.000	3.000	3.000	1524.000	2.000	0.999	3.000	3.000	1524.000	2.000	0.999
